402655232, 34362097664, F5, WIN
402655232, 3407872, D6, WIN
402655232, 2883584, E6, WIN
146432067584, 4574003270516736, E7, WIN
9131286069256, 4508071762993168, ..., DRAW
18120448000, 2542690377728, ..., DRAW
146432071680, 70403709207552, ..., DRAW
197737316352, 6666930626560, ..., DRAW
18119397376, 515397124096, ..., DRAW
155021477888, 112743415808, F7, WIN
8900884037632, 22136668295168, ..., DRAW
103481868288, 4535485988864, E3, WIN
8871323107328, 35246380679168, F4, DRAW_BY_PAIRING
13469622992896, 2269632788432896, G5, DRAW_BY_PAIRING
4604272312448, 8830723834880, D5, DRAW_BY_PAIRING
4604759244800, 17901929103360, E2, DRAW_PY_PAIRING
34628173824, 134217728, E4, WIN
34762391552, 69256347648, E3, WIN
34628173824, 2097152, D5, WIN
34762391552, 2621440, C5, WIN
34762915840, 13194206642176, D7, WIN
103481868288, 68681728, G5, WIN
103481868288, 17717788672, D6, WIN
